Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9220047,A.-Einstein-Ring,Kleinmachnow,13.188238,52.405998,4580967,5808742
9194525,A.-Einstein-Str.,Berlin,13.539444,52.431126,4604807,5811989
9027205,Aalemannufer,Berlin,13.212685,52.573261,4582318,5827381
9012105,Abgeordnetenhaus,Berlin,13.379666,52.506553,4593780,5820162
9193510,Abtstr.,Berlin,13.543538,52.435513,4605075,5812483
9230083,Abzweig Betriebshof ViP,Potsdam,13.111344,52.373412,4575790,5805033
9230134,Abzweig nach Eiche,Potsdam,13.013576,52.405998,4569081,5808561
9230118,Abzweig nach Nedlitz,Potsdam,13.008400,52.432222,4568688,5811474
9210134,Abzweig Waldheim,Falkensee,13.061618,52.576671,4572071,5827599
9350244,Abzweig Wohnsiedlung,Bernau,13.558842,52.667834,4605557,5838355
9175549,Achardstr.,Berlin,13.579138,52.499986,4607339,5819709
9100546,Adalbertstr.,Berlin,13.422146,52.505286,4596667,5820077
9014103,Adalbertstr./Oranienstr.,Berlin,13.419293,52.501285,4596482,5819628
9170515,Adersleber Weg,Berlin,13.560320,52.537893,4605970,5823899
9193501,Adlergestell/Glienicker Weg,Berlin,13.550170,52.429233,4605541,5811794
9185503,Adlergestell/Vetschauer Allee,Berlin,13.633782,52.386162,4611336,5807127
9068158,Adolf-Scheidt-Platz,Berlin,13.378366,52.478195,4593752,5817005
9175555,Adolfstr.,Berlin,13.585050,52.505093,4607728,5820286
9064258,Ahlener Weg,Berlin,13.305064,52.410517,4588908,5809382
9182503,Ahornallee,Berlin,13.619022,52.455606,4610158,5814831
9310553,Ahornallee,Erkner,13.741109,52.415466,4618564,5810558
9073253,Ahrensdorfer Str.,Berlin,13.359293,52.409070,4592601,5809289
9170006,Ahrensfelde,Berlin,13.574675,52.572835,4606859,5827808
9151501,Ahrenshooper Str.,Berlin,13.501888,52.566214,4601940,5826966
9194502,Akeleiweg,Berlin,13.512816,52.429412,4603000,5811760
9140005,Albertinenstr.,Berlin,13.457775,52.549789,4598986,5825077
9350254,Albertshofer Chaussee,Bernau,13.616948,52.692048,4609427,5841136
9054151,Albertstr.,Berlin,13.352978,52.484510,4592014,5817675
9058107,Alboinplatz,Berlin,13.369803,52.461255,4593206,5815109
9058151,Alboinstr./Arnulfstr.,Berlin,13.369867,52.455745,4593222,5814496
9037168,Albrechtshof Bhf,Berlin,13.127624,52.549334,4576593,5824625
9068204,Albrechtstr./Manteuffelstr.,Berlin,13.376712,52.461067,4593676,5815097
9195009,Alemannenstr.,Berlin,13.552075,52.414810,4605705,5810192
9092205,Alemannenstr./Maximiliankorso,Berlin,13.281165,52.634145,4586840,5834236
9100518,Alexanderstr.,Berlin,13.418129,52.517745,4596367,5821458
9012156,Alexandrinenstr.,Berlin,13.405322,52.505154,4595525,5820040
9037131,Alfons-Loewe-Str.,Berlin,13.133322,52.549054,4576980,5824600
9170019,Allee der Kosmonauten/Poelchaustr.,Berlin,13.552324,52.533909,4605437,5823444
9171008,Allee der Kosmonauten/Rhinstr.,Berlin,13.519855,52.525775,4603253,5822492
9051255,Alliiertenmuseum,Berlin,13.273660,52.456479,4586681,5814458
9093202,Almutstr.,Berlin,13.317231,52.615272,4589320,5832180
9065151,Alsterweg,Berlin,13.276621,52.412895,4586968,5809612
9230078,Alt Nowawes,Potsdam,13.085623,52.393369,4574005,5807227
9142502,Alt-Blankenburg,Berlin,13.453308,52.593045,4598586,5829884
9135511,Alt-Buch,Berlin,13.502931,52.636787,4601847,5834820
9135512,Alt-Buch/Karower Str.,Berlin,13.499620,52.635418,4601626,5834663
9135506,Alt-Buch/Wiltbergstr.,Berlin,13.498294,52.633790,4601540,5834480
9081201,Alt-Buckow,Berlin,13.436366,52.423715,4597813,5811020
9025451,Alte Allee,Berlin,13.263419,52.491855,4585916,5818382
9181513,Alte Försterei,Berlin,13.563414,52.456516,4606376,5814849
9175512,Alte Hellersdorfer/Zossener Str.,Berlin,13.592173,52.544839,4608114,5824719
9100522,Alte Jakobstr.,Berlin,13.410032,52.510554,4595833,5820647
9210836,Alte Potsdamer Landstr.,Stahnsdorf,13.197407,52.391876,4581617,5807181
9026171,Altenburger Allee,Berlin,13.257910,52.518587,4585490,5821350
9150509,Altenhofer Str.,Berlin,13.480171,52.534933,4600539,5823455
9051313,Altensteinstr./Fabeckstr.,Berlin,13.295847,52.451043,4588200,5813880
